name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
8 Keys to Safe Trauma Recovery,Babette Rothschild,1,4.5,16.42,$,17.0,9780393706055,1,dataset/Medical/0000187.jpg
The Sweet Poison Quit Plan,David Gillespie,1,4.0,9.02,$,11.4,9780718179045,1,dataset/Medical/0000188.jpg
Body Positive Power,Megan Jayne Crabbe,1,4.5,12.91,$,16.0,9781785041327,1,dataset/Medical/0000191.jpg
Owning it: Your Bullsh*t-Free Guide to Living with Anxiety,Caroline Foran,2,4.0,11.18,$,13.9,9781473657601,1,dataset/Medical/0000192.jpg
Change Your Thinking with CBT,Dr. Sarah Edelman,1,4.0,18.37,$,21.1,9780091906955,1,dataset/Medical/0000193.jpg
The Human Brain Coloring Book,Diamond Books,1,4.5,17.88,$,21.1,9780064603065,1,dataset/Medical/0000195.jpg
The Telomere Effect,Elizabeth Blackburn,1,3.5,8.75,$,12.9,9781780229034,1,dataset/Medical/0000196.jpg
West's Respiratory Physiology,John B. West,1,4.0,35.24,$,44.0,9781496310118,1,dataset/Medical/0000197.jpg
When Breath Becomes Air,Paul Kalanithi,2,4.5,17.41,$,25.2,9780812988406,1,dataset/Medical/0000198.jpg
The Autoimmune Solution,Amy Myers,1,4.0,10.11,$,13.9,9780062347480,1,dataset/Medical/0000199.jpg
The Body Keeps the Score,Bessel van der Kolk,2,4.5,23.39,$,29.3,9780670785933,1,dataset/Medical/0000200.jpg
Living with a Black Dog,Matthew Johnstone,1,4.5,7.99,$,11.4,9781845297435,1,dataset/Medical/0000201.jpg
Owning Your Own Shadow,Robert A. Johnson,1,4.0,10.43,$,15.9,9780062507549,1,dataset/Medical/0000202.jpg
Dr Bernstein's Diabetes Solution,Dr. Richard K. Bernstein,2,4.0,21.41,$,30.9,9780316182690,1,dataset/Medical/0000204.jpg
Robbins & Cotran Pathologic Basis of Disease,Vinay Kumar,2,4.5,81.04,$,115.7,9781455726134,1,dataset/Medical/0000205.jpg
Accessing the Healing Power of the Vagus Nerve,Stanley Rosenberg,1,4.0,19.44,$,23.2,9781623170240,1,dataset/Medical/0000206.jpg
How to Starve Cancer,Jane McLelland,1,4.5,20.04,$,22.99,9780951951736,1,dataset/Medical/0000207.jpg
The Handbook of Child and Adolescent Clinical Psychology,Alan Carr,1,4.0,69.32,$,76.6,9781138806139,1,dataset/Medical/0000208.jpg
The Mindful Way Workbook,John D. Teasdale,1,4.0,20.3,$,22.0,9781462508143,1,dataset/Medical/0000209.jpg
Mindfulness for Health,Dr. Danny Penman,1,4.0,12.12,$,17.0,9780749959241,1,dataset/Medical/0000210.jpg
The Female Brain,Louann Brizendine,1,4.0,10.2,$,12.4,9780553818499,1,dataset/Medical/0000211.jpg
